Potential name,Number of valence electrons,Valence electron configuration,ENAMX [eV]
Cd_sv_GW,20,4s2 4p6 4d10 5s2,361.806
In_d_GW,13,4d10 5s2 5p1,278.624
In_sv_GW,21,4s2 4p6 4d10 5s2 5p1,366.771
Sn_d_GW,14,4d10 5s2 5p2,260.066
Sn_sv_GW,22,4s2 4p6 4d10 5s2 5p2,368.778
Sb_GW,5,5s2 5p3,172.069
Sb_d_GW,15,4d10 5s2 5p3,263.1
Sb_sv_GW,23,4s2 4p6 4d10 5s2 5p3,372.491
Te_GW,6,5s2 5p4,174.982
Te_sv_GW,24,4s2 4p6 4d10 5s2 5p4,376.618
I_GW,7,5s2 5p5,175.647
I_sv_GW,25,4s2 4p6 4d10 5s2 5p5,381.674
Xe_GW,8,5s2 5p6,179.547
Xe_sv_GW,26,4s2 4p6 4d10 5s2 5p6,400.476
Cs_sv_GW,9,5s2 5p6 5d1,198.101
Ba_sv_GW,10,5s2 5p6 5d1 6s1,267.02
La_GW,11,4f0.2 5s2 5p6 5d0.8 6s2,313.688
Ce_GW,12,4f1 5s2 5p6 5d1 6s2,304.625
Hf_sv_GW,12,5s2 5p6 5d4,309.037
Ta_sv_GW,13,5s2 5p6 5d5,286.008
W_sv_GW,14,5s2 5p6 5d6,317.132
Re_sv_GW,15,5s2 5p6 5d7,317.012
Os_sv_GW,16,5s2 5p6 5d8,319.773
Ir_sv_GW,17,5s2 5p6 5d9,319.843
Pt_GW,10,5d9 6s1,248.716
Pt_sv_GW,18,5s2 5p6 5d10,323.669
Au_GW,11,5d10 6s1,248.344
Au_sv_GW,19,5s2 5p6 5d11,306.658
Hg_sv_GW,20,5s2 5p6 5d10 6s2,312.028
Tl_d_GW,15,5s2 5d10 6s2 6p1,237.053
Tl_sv_GW,21,5s2 5p6 5d10 6s2 6p1,316.583
Pb_d_GW,16,5s2 5d10 6s2 6p2,237.809
Pb_sv_GW,22,5s2 5p6 5d10 6s2 6p2,317.193
Bi_GW,5,6s2 6p3,146.53
Bi_d_GW,17,5s2 5d10 6s2 6p3,261.876
Bi_sv_GW,23,5s2 5p6 5d10 6s2 6p3,323.513
Po_d_GW,18,5s2 5d10 6s2 6p4,267.847
Po_sv_GW,24,5s2 5p6 5d10 6s2 6p4,326.618
At_d_GW,17,5d10 6s2 6p5,266.251
At_sv_GW,25,5s2 5p6 5d10 6s2 6p5,328.529
Rn_d_GW,18,5d10 6s2 6p6,267.347
Rn_sv_GW,26,5s2 5p6 5d10 6s2 6p6,329.758
