Potential name,Number of valence electrons,Valence electron configuration,ENAMX [eV]
Pb_d,14,5d10 6s2 6p2,237.835
Bi,5,6s2 6p3,105.037
Bi_d,15,5d10 6s2 6p3,242.839
Po,6,6s2 6p4,159.707
Po_d,16,5d10 6s2 6p4,264.565
At,7,6s2 6p5,161.43
Rn,8,6s2 6p6,151.497
Fr_sv,9,6s2 6p6 7s1,214.54
Ra_sv,10,6s2 6p6 7s2,237.367
Ac,11,6s2 6p6 6d1 7s2,172.351
Th,12,5f1 6s2 6p6 6d1 7s2,247.306
Th_s,10,5f1 6p6 6d1 7s2,169.363
Pa,13,5f1 6s2 6p6 6d2 7s2,252.193
Pa_s,11,5f1 6p6 6d2 7s2,193.466
U,14,5f2 6s2 6p6 6d2 7s2,252.502
U_s,14,5f2 6s2 6p6 6d2 7s2,209.23
Np,15,5f3 6s2 6p6 6d2 7s2,254.26
Np_s,15,5f3 6s2 6p6 6d2 7s2,207.713
Pu,16,5f4 6s2 6p6 6d2 7s2,254.353
Pu_s,16,5f4 6s2 6p6 6d2 7s2,207.83
Am,17,5f5 6s2 6p6 6d2 7s2,255.875
Cm,18,5f6 6s2 6p6 6d2 7s2,257.953
Cf,20,5f8 6s2 6p6 6d2 7s2,414.614
